18-Jan,INDONAKANO ESR,3,0

21-Jan,INDONAKANO ESR,37,0

3-Feb,INDONAKANO ESR,20,0

11-Feb,TBP CIKAL,14,0

13-Feb,INDONAKANO ESR,8,0

16-Feb,INDONAKANO ESR,26,0

20-Feb,INDONAKANO ESR,3,0

21-Feb,TBP CIKAL,5,0

22-Feb,INDONAKANO ESR,31,0

23-Feb,INDONAKANO ESR,15,0

4-Mar,INDONAKANO ESR,3,0

8-Mar,DARI POTONGAN HOLLOW 5X10X4,12,0

8-Mar,TBP ALAM SUTRA,0,220

9-Mar,DARI POTONGAN HOLLOW 5X10X4,80,0

10-Mar,TBP ALAM SUTRA,0,80

13-Mar,DARI POTONGAN HOLLOW 5X10X4,200,0

13-Mar,TBP ALAM SUTRA,0,200

15-Mar,INDONAKANO ESR,7,0

17-Mar,INDONAKANO ESR,1,0

24-Mar,INDONAKANO ESR,3,0

3-Apr,INDONAKANO ESR,8,0

8-Apr,INDONAKANO ESR,5,0

11-Apr,TPI WAREHOUSE DEPOK,207,0

5-May,INDONAKANO ESR,6,0

10-May,TBP ALAM SUTRA,88,0

13-May,TPI WAREHOUSE DEPOK,116,0

22-May,TBP ALAM SUTRA,2,0

24-May,TBP ALAM SUTRA,78,0

27-May,TBP ALAM SUTRA,6,0

29-May,TBP ALAM SUTRA,15,0

30-May,TPI WAREHOUSE DEPOK,0,21

2-Jun,TBP ALAM SUTRA,219,0

6-Jun,TBP ALAM SUTRA,73,0

12-Jun,TBP ALAM SUTRA,33,0

14-Jul,INDONAKANO ESR,1,0

19-Jun,TBP ALAM SUTRA,20,0

21-Jun,TBP SUMBANGSEL,0,220

24-Jun,TBP ALAM SUTRA,19,0

10-Aug,TBP ALAM SUTRA,3,0

12-Aug,TBP ALAM SUTRA,46,0

19-Aug,TBP PLTU SUMBANGSEL,0,192

26-Aug,TBP PLTU SUMBANGSEL,0,13

2-Sep,TBP PLTU SUMBANGSEL,0,77

16-Sep,TBP ALAM SUTRA,1,0

11-Oct,TBP PURI,0,41

12-Oct,TBP PLTU SUMBANGSEL,0,4

20-Oct,TBP PLTU SUMBANGSEL,0,8

15-Nov,TBP PLTU SUMBANGSEL TG P,0,200

17-Nov,TBP PLTU SUMBANGSEL TG P,0,115

23-Nov,TBP PLTU SUMBANGSEL,0,84

25-Nov,TBP PLTU SUMBANGSEL,0,19

15-Dec,TPI BLITAR,2,0

