14-Jan,INNOTECH B RESIDENCE,0,200

17-Jan,INNOTECH B RESIDENCE,0,50

20-Jan,INNOTECH B RESIDENCE,0,150

25-Jan,TBP CIKAL,2,0

27-Jan,ACSET DHARMAWANGSA,3,0

31-Jan,TBP CIKAL,70,0

8-Feb,INNOTECH B RESIDENCE,178,0

8-Feb,ACSET DHARMAWANGSA,52,0

15-Feb,ACSET DHARMAWANGSA,35,0

15-Feb,ACSET DHARMAWANGSA,158,0

21-Feb,ACSET DHARMAWANGSA,1,0

22-Feb,INNOTECH AHM,0,14

23-Feb,ACSET DHARMAWANGSA,52,0

23-Feb,INNOTECH AHM,0,52

14-Feb,ACSET DHARMAWANGSA,33,0

2-Mar,ACSET DHARMAWANGSA,81,0

6-Mar,ACSET DHARMAWANGSA,50,0

6-Mar,ACSET DHARMAWANGSA,5,0

7-Mar,ACSET DHARMAWANGSA,68,0

7-Mar,ACSET DHARMAWANGSA,0,68

9-Mar,ACSET DHARMAWANGSA,127,0

16-Mar,ACSET DHARMAWANGSA,6,0

24-Mar,INNOTECH TOL,80,0

28-Mar,TPI WAREHOUSE DEPOK,810,0

28-Mar,INNOTECH ROYAL TULIP,0,184

31-Mar,TPI WAREHOUSE DEPOK,160,0

3-Apr,TBP SHIMIZU ADR,0,65

4-Apr,TBP SHIMIZU ADR,0,185

6-Apr,TBP SHIMIZU ADR,0,100

6-Apr,INNOTECH ROYAL TULIP,0,150

8-Apr,TBP SHIMIZU ADR,0,50

2-May,INNOTECH ROYAL TULIP,0,150

3-May,INNOTECH ROYAL TULIP,0,75

8-May,INNOTECH ROYAL TULIP,0,75

9-May,INNOTECH ROYAL TULIP,0,20

12-May,TBP ALAM SUTRA,151,0

13-May,INNOTECH ROYAL TULIP,0,100

19-May,INNOTECH ROYAL TULIP,0,182

22-May,TBP ALAM SUTRA,75,0

24-May,TBP ALAM SUTRA,27,0

26-May,INNOTECH ROYAL TULIP,0,55

26-May,TBP ALAM SUTRA,30,0

27-May,INNOTECH AHM,0,100

29-May,INNOTECH ROYAL TULIP,0,100

29-May,TBP ALAM SUTRA,65,0

2-Jun,TBP ALAM SUTRA,67,0

3-Jun,TBP ALAM SUTRA,37,0

5-Jun,TBP ALAM SUTRA,26,0

7-Jun,INNOTECH ROYAL TULIP,0,200

8-Jun,INNOTECH ROYAL TULIP,0,100

12-Jun,TBP ALAM SUTRA,2,0

19-Jun,TBP ALAM SUTRA,11,0

23-Jun,INNOTECH B RESIDENCE,26,0

24-Jun,TBP ALAM SUTRA,9,0

30-Jun,ACSET THAMRIN,0,150

30-Jun,ACSET THAMRIN,0,75

18-Jul,INNOTECH ROYAL TULIP,104,0

25-Jul,INNOTECH DEPO JONGGOL,0,397

26-Jul,INNOTECH ROYAL TULIP,78,0

31-Jul,INNOTECH ROYAL TULIP,19,0

7-Aug,INNOTECH AHM,8,0

9-Aug,INNOTECH ROYAL TULIP,30,0

10-Aug,TBP ALAM SUTRA,23,0

10-Aug,INNOTECH AHM,60,0

10-Aug,INNOTECH ROYAL TULIP,31,0

11-Aug,INNOTECH ROYAL TULIP,128,0

16-Aug,INNOTECH AHM,48,0

18-Aug,INNOTECH ROYAL TULIP,119,0

21-Aug,INNOTECH ROYAL TULIP,80,0

22-Aug,ACSET THAMRIN,102,0

22-Aug,INNOTECH ROYAL TULIP,1,0

24-Aug,INNOTECH ROYAL TULIP,70,0

29-Aug,INNOTECH ROYAL TULIP,24,0

29-Aug,INNOTECH ROYAL TULIP,97,0

30-Aug,INNOTECH ROYAL TULIP,59,0

31-Aug,INNOTECH B RESIDENCE,39,0

31-Aug,TBP PURI,0,39

31-Aug,INNOTECH AHM,1,0

4-Sep,INNOTECH ROYAL TULIP,17,0

4-Sep,TBP PLTU SUMBANGSEL,0,100

6-Sep,INNOTECH ROYAL TULIP,18,0

7-Sep,INNOTECH AHM,5,0

13-Sep,INNOTECH ROYAL TULIP,18,0

18-Sep,INNOTECH ROYAL TULIP,10,0

26-Sep,INNOTECH B RESIDENCE,67,0

2-Oct,INNOTECH AHM,28,0

3-Oct,TBP ALAM SUTRA,27,0

5-Oct,ACSET THAMRIN,19,0

10-Oct,INNOTECH ROYAL TULIP,60,0

13-Oct,INNOTECH ROYAL TULIP,48,0

16-Oct,INNOTECH AHM,27,0

16-Oct,TBP ALAM SUTRA,21,0

18-Oct,TBP PURI,0,100

18-Oct,INNOTECH AHM,23,0

18-Oct,INNOTECH AHM,1,0

20-Oct,INNOTECH AHM,95,0

21-Oct,TBP PURI,0,500

24-Oct,INNOTECH AHM,184,0

9-Nov,ACSET THAMRIN,28,0

15-Nov,INNOTECH AHM,52,0

20-Nov,TBP PLTU SUMBANGSEL TG,0,504

4-Dec,ACSET THAMRIN,56,0

8-Dec,INNOTECH DEPO JONGGOL,12,0

11-Dec,TBP PIM,78,0

20-Dec,TBP PIM,2,0

22-Dec,TBP SHIMIZU ADR,47,0

22-Dec,TBP ALAM SUTRA,2,0

22-Dec,TBP PIM2,5,0

23-Dec,TPI BLITAR,43,0

