9-Jan,DARI POTONGAN 6M ,112,0

10-Jan,TBP SUMBANGSEL,0,110

21-Feb,TBP CIKAL,78,0

22-Feb,TBP CIKAL,1,0

22-Feb,TPI MAYORA PALEMBANG,0,140

27-Jun,TEKNO,892,0

27-Jun,KUS,48,0

27-Jun,ACSET AHM JUAL,0,940

8-Jul,TEKNOMETAL BELI,50,0

8-Jul,ACSET AHM JUAL,0,50

21-Jul,TEKNOMETAL BELI,50,0

25-Jul,ACSET AHM JUAL,0,50

10-Aug,TBP ALAM SUTRA,88,0

23-Aug,POTONG JADI TIEBAR 30,0,60

11-Sep,TEKNOMETAL BELI,160,0

11-Sep,TBP PURI,0,160

25-Sep,TPI MAYORA PALEMBANG,31,0

26-Sep,TEKNOMETAL BELI,69,0

26-Sep,TBP PURI,0,100

30-Sep,TEKNOMETAL BELI,100,0

30-Sep,TBP PURI,0,100

5-Oct,TPI MAYORA PALEMBANG,79,0

16-Oct,TPI MAYORA PALEMBANG,4,0

23-Oct,IBU YENTI DIAMOND PIK,0,70

4-Nov,TBP PURI,0,43

6-Nov,TBP PURI,0,59

6-Nov,TEKNOMETAL BELI,127,0

8-Nov,TEKNOMETAL BELI,100,0

13-Nov,TBP PURI,0,100

16-Dec,MIZARTINDO,50,0

16-Dec,AXSET AHM,0,50

