20-Jan,RDM PURI MAL,10,0

27-Jan,ACSET DHARMAWANGSA,129,0

8-Feb,ACSET DHARMAWANGSA,44,0

10-Feb,TBP CIKAL,73,0

13-Feb,TBP REZ,0,50

17-Feb,ACSET DHARMAWANGSA,82,0

21-Feb,ACSET DHARMAWANGSA,65,0

21-Feb,TBP CIKAL,7,0

22-Feb,ACSET DHARMAWANGSA,47,0

22-Feb,TBP CIKAL,2,0

28-Feb,ACSET DHARMAWANGSA,20,0

1-Mar,ACSET DHARMAWANGSA,90,0

3-Mar,ACSET DHARMAWANGSA,6,0

6-Mar,ACSET DHARMAWANGSA,165,0

6-Mar,ACSET DHARMAWANGSA,50,0

9-Mar,ACSET DHARMAWANGSA,50,0

10-Mar,ACSET DHARMAWANGSA,212,0

16-Mar,ACSET DHARMAWANGSA,51,0

21-Mar,ACSET DHARMAWANGSA,12,0

24-Mar,ACSET DHARMAWANGSA,11,0

25-Mar,TBP ALAM SUTRA,0,64

25-Mar,TBP ALAM SUTRA,64,0

25-May,INNOTECH AHM,0,200

27-May,INNOTECH AHM,0,100

29-May,INNOTECH AHM,0,75

2-Jun,INNOTECH AHM,0,100

5-Jun,INNOTECH AHM,0,200

6-Jun,INNOTECH AHM,0,100

8-Jun,INNOTECH AHM,0,100

9-Jun,INNOTECH AHM,0,200

12-Jun,INNOTECH AHM,0,100

13-Jun,INNOTECH AHM,0,50

16-Jun,INNOTECH AHM,0,125

4-Jul,INDONAKANO ESR,1,0

2-Aug,TBP REZ,2,0

10-Aug,INNOTECH AHM,10,0

10-Aug,TBP REZ,3,0

11-Aug,TBP REZ,15,0

16-Aug,TBP REZ,1,0

18-Aug,TBP REZ,7,0

23-Aug,INNOTECH AHM,43,0

23-Aug,TBP REZ,1,0

5-Sep,TBP REZ,4,0

6-Sep,INNOTECH AHM,81,0

8-Sep,TBP PURI,0,120

9-Sep,TBP PURI,0,30

11-Sep,TBP PURI,0,90

11-Sep,INNOTECH AHM,172,0

12-Sep,INNOTECH AHM,48,0

14-Sep,TBP PURI,0,254

14-Sep,TBP PURI,0,68

20-Sep,INNOTECH AHM,257,0

25-Sep,INNOTECH AHM,88,0

25-Sep,INNOTECH AHM,151,0

2-Oct,INNOTECH AHM,193,0

3-Oct,INNOTECH AHM,6,0

4-Oct,TBP REZ,3,0

5-Oct,TBP REZ,12,0

9-Oct,TPI BIOGAS BLITAR,0,300

10-Oct,DARI POTONGAN VERTICAL 2 TARSIM,500,0

10-Oct,DARI POTONGAN VERTICAL 1.5 TARSIM,83,0

11-Oct,TPI BIOGAS BLITAR,0,525

18-Oct,TBP PURI,0,50

18-Oct,INNOTECH AHM,91,0

26-Oct,TPI BIOGAS BLITAR,0,150

26-Oct,INNOTECH AHM,39,0

16-Nov,TBP PLTU SUMBANGSEL ,0,420

20-Nov,TBP PLTU SUMBANGSEL TG2 ,0,82

22-Nov,INNOTECH AHM,76,0

22-Nov,TBP PLTU SUMBANGSEL ,0,76

22-Nov,DARI POTONGAN VERTICAL 2 TARSIM,322,0

23-Nov,TBP PLTU SUMBANGSEL ,0,322

23-Nov,DARI POTONGAN VERTICAL 2 TARSIM,100,0

25-Nov,TBP PLTU SUMBANGSEL ,0,24

13-Dec,TBP PIM2,35,0

14-Dec,TPI BLITAR,72,0

15-Dec,TPI BLITAR,109,0

18-Dec,TPI BLITAR,190,0

19-Dec,TBP CIKAL 2,19,0

19-Dec,TPI BLITAR,40,0

21-Dec,TPI BIOGAS BLITAR,64,0

21-Dec,TPI BIOGAS BLITAR,226,0

23-Dec,TPI BLITAR,68,0

