6-Jan,INNOTECH TOL,13,0

14-Jan,INNOTECH B RESIDENCE,0,150

19-Jan,TBP EDGE KUNINGAN,0,184

20-Jan,INNOTECH B RESIDENCE,0,150

24-Jan,ACSET DHARMAWANGSA,20,0

25-Jan,ACSET DHARMAWANGSA,28,0

26-Jan,TBP EDGE KUNINGAN,179,0

27-Jan,ACSET DHARMAWANGSA,108,0

31-Jan,TBP CIKAL,145,0

6-Feb,TBP CIKAL,74,0

8-Feb,ACSET DHARMAWANGSA,28,0

10-Feb,TBP CIKAL,50,0

13-Feb,TBP REZ,0,325

17-Feb,ACSET DHARMAWANGSA,125,0

17-Feb,ACSET DHARMAWANGSA,22,0

21-Feb,ACSET DHARMAWANGSA,11,0

21-Feb,TBP CIKAL,9,0

22-Feb,TBP REZ,0,560

22-Feb,ACSET DHARMAWANGSA,9,0

22-Feb,TBP CIKAL,5,0

1-Mar,ACSET DHARMAWANGSA,90,0

3-Mar,ACSET DHARMAWANGSA,88,0

3-Mar,TBP CIKAL,8,0

6-Mar,ACSET DHARMAWANGSA,130,0

6-Mar,ACSET DHARMAWANGSA,57,0

7-Mar,TBP REZ,0,250

8-Mar,TBP REZ,0,400

9-Mar,TPI WAREHOUSE DEPOK,585,0

9-Mar,ACSET DHARMAWANGSA,268,0

10-Mar,ACSET DHARMAWANGSA,234,0

10-Mar,INNOTECH TOL,55,0

13-Mar,TBP REZ,0,668

16-Mar,ACSET DHARMAWANGSA,0,200

21-Mar,TPI WAREHOUSE DEPOK,910,0

24-Mar,ACSET DHARMAWANGSA,2,0

24-Mar,INNOTECH TOL,2,0

25-Mar,TBP ALAM SUTRA,0,448

29-Mar,INNOTECH ROYAL TULIP,0,183

31-Mar,TPI WAREHOUSE DEPOK,5,0

4-Apr,TBP ALAM SUTRA,0,200

4-Apr,TBP REZ,0,452

6-Apr,INNOTECH ROYAL TULIP,0,100

10-Apr,TBP REZ,0,500

10-Apr,TBP EDGE KUNINGAN,6,0

11-Apr,INNOTECH ROYAL TULIP,0,100

2-May,INNOTECH ROYAL TULIP,0,250

3-May,INNOTECH ROYAL TULIP,0,350

8-May,INNOTECH ROYAL TULIP,0,150

9-May,INNOTECH ROYAL TULIP,0,200

10-May,TBP ALAM SUTRA,84,0

11-May,INNOTECH ROYAL TULIP,0,200

15-May,INNOTECH ROYAL TULIP,0,100

21-May,INNOTECH ROYAL TULIP,0,203

25-May,INNOTECH AHM,0,200

25-May,INNOTECH ROYAL TULIP,0,200

26-May,INNOTECH ROYAL TULIP,0,50

27-May,INNOTECH AHM,0,100

29-May,INNOTECH ROYAL TULIP,0,300

29-May,INNOTECH AHM,0,75

30-May,INNOTECH ROYAL TULIP,0,100

1-Jun,INNOTECH ROYAL TULIP,0,100

2-Jun,INNOTECH AHM,0,100

5-Jun,INNOTECH AHM,0,100

6-Jun,INNOTECH AHM,0,48

7-Jun,INNOTECH B RESIDENCE,155,0

7-Jun,INNOTECH ROYAL TULIP,0,155

17-Jun,INNOTECH AHM,0,17

21-Jun,TBP REZ,397,0

23-Jun,INNOTECH B RESIDENCE,88,0

5-Jul,INNOTECH AHM,9,0

18-Jul,INNOTECH ROYAL TULIP,111,0

26-Jul,INNOTECH ROYAL TULIP,101,0

31-Jul,INNOTECH ROYAL TULIP,102,0

2-Aug,TBP REZ,114,0

3-Aug,INNOTECH ROYAL TULIP,107,0

8-Aug,TBP ALAM SUTRA,433,0

9-Aug,INNOTECH ROYAL TULIP,228,0

10-Aug,TBP ALAM SUTRA,131,0

10-Aug,TBP REZ,161,0

10-Aug,INNOTECH ROYAL TULIP,193,0

11-Aug,TBP REZ,232,0

13-Aug,TAKENAKA HM SAMPOERNA,0,50

15-Aug,INNOTECH ROYAL TULIP,150,0

16-Aug,TBP PLTU SUMBANGSEL,0,200

16-Aug,INNOTECH ROYAL TULIP,122,0

16-Aug,INNOTECH ROYAL TULIP,142,0

16-Aug,TBP REZ,256,0

18-Aug,TBP PLTU SUMBANGSEL,0,200

18-Aug,INNOTECH ROYAL TULIP,76,0

18-Aug,TBP REZ,281,0

22-Aug,TBP PLTU SUMBANGSEL,0,200

22-Aug,INNOTECH ROYAL TULIP,172,0

23-Aug,TBP PLTU SUMBANGSEL,0,100

23-Aug,TBP REZ,212,0

24-Aug,TBP PLTU SUMBANGSEL,0,200

24-Aug,TBP REZ,123,0

24-Aug,INNOTECH ROYAL TULIP,148,0

25-Aug,INNOTECH ROYAL TULIP,185,0

25-Aug,TBP PLTU SUMBANGSEL,0,508

29-Aug,INNOTECH ROYAL TULIP,92,0

29-Aug,INNOTECH ROYAL TULIP,68,0

30-Aug,INNOTECH ROYAL TULIP,75,0

30-Aug,INNOTECH B RESIDENCE,44,0

31-Aug,INNOTECH ROYAL TULIP,253,0

31-Aug,TBP REZ,340,0

4-Sep,INNOTECH ROYAL TULIP,181,0

5-Sep,TBP REZ,300,0

6-Sep,INNOTECH ROYAL TULIP,32,0

6-Sep,INNOTECH AHM,47,0

11-Sep,INNOTECH AHM,132,0

12-Sep,INNOTECH AHM,37,0

13-Sep,TBP PURI,0,300

13-Sep,INNOTECH ROYAL TULIP,75,0

13-Sep,TBP REZ,259,0

18-Sep,INNOTECH ROYAL TULIP,47,0

20-Sep,INNOTECH AHM,115,0

22-Sep,SARANA TEKNIK MANDIRI ANTASARI,0,200

23-Sep,SARANA TEKNIK MANDIRI ANTASARI,0,20

24-Sep,SARANA TEKNIK MANDIRI ANTASARI,0,3

25-Sep,INNOTECH AHM,45,0

25-Sep,INNOTECH AHM,95,0

26-Sep,INNOTECH B RESIDENCE,2,0

2-Oct,SARANA TEKNIK MANDIRI ANTASARI,223,0

2-Oct,INNOTECH AHM,66,0

4-Oct,TBP REZ,324,0

5-Oct,INNOTECH ROYAL TULIP,81,0

5-Oct,TBP REZ,77,0

7-Oct,INNOTECH B RESIDENCE,1,0

10-Oct,TPI BIOGAS BLITAR,0,319

10-Oct,POTONG MENJADI VERTICAL 0.5TARSIM,0,95

10-Oct,POTONG MENJADI VERTTICAL 1 TARSIM,0,250

11-Oct,TPI BIOGAS BLITAR,0,200

12-Oct,TPI BIOGAS BLITAR,0,500

12-Oct,TBP PLTU SUMBANGSEL,0,274

13-Oct,TPI BIOGAS BLITAR,0,400

16-Oct,TBP PLTU SUMBANGSEL,0,274

18-Oct,TBP PURI,0,300

18-Oct,INNOTECH AHM,26,0

13-Nov,TBP PLTU SUMBANGSEL,0,1

26-Oct,INNOTECH AHM,25,0

20-Nov,TBP PLTU SUMBANGSEL TG,0,284

28-Nov,POTONG MENJADI VERTICAL 1 TARSIM,0,211

21-Nov,TBP PLTU SUMBANGSEL TG,0,584

21-Nov,TBP REZ,69,0

22-Nov,INNOTECH AHM,10,0

22-Nov,TBP PLTU SUMBANGSEL TG,0,550

23-Nov,TBP PLTU SUMBANGSEL,0,700

25-Nov,TBP PLTU SUMBANGSEL,0,550

28-Nov,TBP PLTU SUMBANGSEL,0,200

13-Dec,TBP PIM2,59,0

14-Dec,TPI BLITAR,113,0

15-Dec,TPI BLITAR,111,0

16-Dec,TBP PLTU SUMBANGSEL TG,0,280

18-Dec,TPI BLITAR,535,0

19-Dec,TBP CIKAL 2,22,0

19-Dec,TPI BLITAR,120,0

19-Dec,TBP PLTU SUMBANGSEL TG,0,760

20-Dec,TBP PIM2,4,0

21-Dec,TPI BLITAR,161,0

21-Dec,TPI BLITAR,333,0

22-Dec,TBP PIM2,76,0

23-Dec,TBP PLTU,0,555

